0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
32,0,0,0,0,N/A,,32,0.0,0,0,0,N/A,,,,,
31,0,0,0,0,N/A,,31,0.0,0,0,0,N/A,,,,,
30,0,0,0,0,,N/A,,,30,0,0,0,0.0,,N/A,,
29,2,0,0,0,,N/A,,,29,2,1,0,1.0,,1 in 2.0,,
28,6,1,0,1,,1 in 6.0,,,28,16,5,0,5.0,1 in 3.2,,,
27,13,5,0,5,1 in 2.6,,27,26.0,2,0,2,1 in 13.0,,,,,
26,29,5,0,5,1 in 5.8,,26,55.0,6,0,6,1 in 9.2,,,,,
25,84,19,0,19,1 in 4.4,,25,69.0,2,1,3,1 in 23.0,,,,,
24,139,31,2,33,1 in 4.2,,24,105.0,2,0,2,1 in 52.5,,,,,
23,204,27,3,30,1 in 6.8,,23,115.0,4,0,4,1 in 28.8,,,,,
22,308,20,1,21,1 in 14.7,,22,151.0,12,0,12,1 in 12.6,,,,,
21,358,23,2,25,1 in 14.3,,21,151.0,3,1,4,1 in 37.8,,,,,
20,457,45,2,47,1 in 9.7,,20,218.0,7,3,10,1 in 21.8,,,,,
19,504,17,11,28,1 in 18.0,,19,243.0,3,1,4,1 in 60.8,,,,,
18,596,27,9,36,1 in 16.6,,18,257.0,3,3,6,1 in 42.8,,,,,
17,640,32,11,43,1 in 14.9,,17,307.0,0,0,0,N/A,,,,,
16,826,84,11,95,1 in 8.7,,16,1511.0,6,6,12,1 in 125.9,,,,,
15,1028,98,20,118,1 in 8.7,,15,776.0,1,6,7,1 in 110.9,,,,,
14,1136,62,29,91,1 in 12.5,,14,655.0,2,5,7,1 in 93.6,,,,,
13,1311,42,27,69,1 in 19.0,,13,622.0,0,5,5,1 in 124.4,,,,,
12,1312,40,41,81,1 in 16.2,,12,586.0,2,4,6,1 in 97.7,,,,,
11,1405,31,35,66,1 in 21.3,,11,674.0,0,9,9,1 in 74.9,,,,,
10,1413,44,50,94,1 in 15.0,,10,718.0,0,6,6,1 in 119.7,,,,,
9,1664,24,52,76,1 in 21.9,,9,716.0,0,4,4,1 in 179.0,,,,,
8,1925,27,65,92,1 in 20.9,,8,897.0,1,6,7,1 in 128.1,,,,,
7,1897,14,62,76,1 in 25.0,,7,858.0,0,3,3,1 in 286.0,,,,,
6,1942,12,55,67,1 in 29.0,,6,977.0,0,5,5,1 in 195.4,,,,,
5,2248,18,65,83,1 in 27.1,,5,888.0,1,7,8,1 in 111.0,,,,,
4,2301,7,54,61,1 in 37.7,,4,933.0,0,2,2,1 in 466.5,,,,,
3,2486,10,51,61,1 in 40.8,,3,923.0,1,5,6,1 in 153.8,,,,,
2,2543,1,55,56,1 in 45.4,,2,1026.0,0,4,4,1 in 256.5,,,,,
1,2718,2,40,42,1 in 64.7,,1,1181.0,0,2,2,1 in 590.5,,,,,
0,3359,0,39,39,1 in 86.1,,0,1311.0,0,2,2,1 in 655.5,,,,,
Totals,34854,768,792,1560,1 in 22.3,,Totals,16967.0,64,90,154,1 in 110.2,,,,,
