0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
32,0,0,0,0,N/A,32,0.0,0,0,0,N/A,,,,
31,0,0,0,0,N /A,31,0.0,0,0,0,N /A,,,,
30,0,0,0,0,,N/A,,30,0,0,0,0.0,,N/A,
29,0,0,0,0,,N/A,,29,0,0,0,0.0,,N/A,
28,0,0,0,0,,N/A,,28,10,2,0,2.0,,1 in 5.0,
27,0,0,0,0,,N/A,,27,9,0,0,0.0,N/A,,
26,3,3,0,3,1 in 1 .0,26,18.0,0,0,0,N /A,,,,
25,36,8,0,8,1 in 4 .5,25,20.0,0,0,0,N /A,,,,
24,40,0,2,2,1 in 20.0,24,31.0,0,0,0,N/A,,,,
23,62,0,2,2,1 in 31.0,23,25.0,0,0,0,N/A,,,,
22,60,0,0,0,N /A,22,40.0,0,0,0,N/A,,,,
21,68,0,0,0,N /A,21,32.0,0,0,0,N/A,,,,
20,87,0,0,0,N /A,20,50.0,0,0,0,N/A,,,,
19,91,0,1,1,1 in 91.0,19,37.0,0,0,0,N/A,,,,
18,105,0,0,0,N /A,18,50.0,0,0,0,N/A,,,,
17,100,0,1,1,1 in 100.0,17,65.0,0,0,0,N/A,,,,
16,106,0,0,0,N/A,16,357.0,0,0,0,N/A,,,,
15,113,0,0,0,N /A,15,152.0,0,0,0,N/A,,,,
14,118,0,0,0,N /A,14,145.0,0,0,0,N/A,,,,
13,115,0,0,0,N /A,13,110.0,0,1,1,1 in 110.0,,,,
12,99,0,1,1,1 in 99.0,12,121.0,0,0,0,N/A,,,,
11,105,0,1,1,1 in 105.0,11,137.0,0,0,0,N/A,,,,
10,94,0,1,1,1 in 94.0,10,135.0,0,0,0,N/A,,,,
9,110,0,1,1,1 in 110.0,9,145.0,0,0,0,N/A,,,,
8,132,0,0,0,N/A,8,154.0,0,0,0,N/A,,,,
7,113,0,0,0,N/A,7,146.0,0,0,0,N/A,,,,
6,115,0,0,0,N/A,6,136.0,0,0,0,N/A,,,,
5,100,0,0,0,N/A,5,124.0,0,0,0,N/A,,,,
4,111,0,0,0,N/A,4,136.0,0,0,0,N/A,,,,
3,136,0,0,0,N/A,3,147.0,0,0,0,N/A,,,,
2,144,0,0,0,N/A,2,158.0,0,0,0,N/A,,,,
1,133,0,0,0,N/A,1,346.0,0,0,0,N/A,,,,
0,161,0,0,0,,N/A,,0,375,0,0,0.0,,N/A,
Totals,2657,11,10,21,1 in 126.5,Totals,3411.0,2,1,3,in 1137.0,,,,
